businessGuid, sun_0, sun_1, sun_2, sun_3, sun_4, sun_5, sun_6, sun_7, sun_8, sun_9, sun_10, sun_11, sun_12, sun_13, sun_14, sun_15, sun_16, sun_17, sun_18, sun_19, sun_20, sun_21, sun_22, sun_23, mon_0, mon_1, mon_2, mon_3, mon_4, mon_5, mon_6, mon_7, mon_8, mon_9, mon_10, mon_11, mon_12, mon_13, mon_14, mon_15, mon_16, mon_17, mon_18, mon_19, mon_20, mon_21, mon_22, mon_23, tue_0, tue_1, tue_2, tue_3, tue_4, tue_5, tue_6, tue_7, tue_8, tue_9, tue_10, tue_11, tue_12, tue_13, tue_14, tue_15, tue_16, tue_17, tue_18, tue_19, tue_20, tue_21, tue_22, tue_23, wed_0, wed_1, wed_2, wed_3, wed_4, wed_5, wed_6, wed_7, wed_8, wed_9, wed_10, wed_11, wed_12, wed_13, wed_14, wed_15, wed_16, wed_17, wed_18, wed_19, wed_20, wed_21, wed_22, wed_23, thu_0, thu_1, thu_2, thu_3, thu_4, thu_5, thu_6, thu_7, thu_8, thu_9, thu_10, thu_11, thu_12, thu_13, thu_14, thu_15, thu_16, thu_17, thu_18, thu_19, thu_20, thu_21, thu_22, thu_23, fri_0, fri_1, fri_2, fri_3, fri_4, fri_5, fri_6, fri_7, fri_8, fri_9, fri_10, fri_11, fri_12, fri_13, fri_14, fri_15, fri_16, fri_17, fri_18, fri_19, fri_20, fri_21, fri_22, fri_23, sat_0, sat_1, sat_2, sat_3, sat_4, sat_5, sat_6, sat_7, sat_8, sat_9, sat_10, sat_11, sat_12, sat_13, sat_14, sat_15, sat_16, sat_17, sat_18, sat_19, sat_20, sat_21, sat_22, sat_23
qNqvJIH4_KENAajUfRZKoA,1,,,,,,,,,,2,4,2,1,1,2,1,2,3,,5,1,,,,,,,,,,,,,1,6,3,,1,2,4,2,,,1,1,,,,,,,,,,,,,1,2,6,,,,5,2,2,1,,,,,,,,,,,,,,,1,,2,1,,2,2,1,2,1,3,,,1,,,,,,,,,,,1,5,2,3,1,1,2,1,3,2,5,1,,,,,,,,,,,,,,9,2,6,2,,,2,3,2,1,1,,,,,,1,,,,,,,2,,1,1,3,2,1,1,2,,1,,,
7n3_Dg8SCgoPjKYjcp62QQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
aTUHVjsSH7YLV_wD3i4Lsw,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,4,,,,1,,,,,1,,,,,,,,,,,,,,1,2,1,,,,,,,,,,,,,,,,,,,,,,2,8,1,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,1,1,,,1,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,1,1,,,
lEGq4UveDPxikXcpwjtFow,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,2,4,1,2,,,,,,,1,,,,,,1,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,1,1,2,9,16,1,1,,,,,1,,,,,,,,1,,,,,,1,1,7,6,4,3,1,,,,,,,,,1,,1,,,4,1,,,1,,2,,3,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,
IK8ID-Dq7LZsPppx4sKLhg,,,,,,,5,6,1,1,2,1,1,,,,,2,,,,1,,,,,,,,2,3,7,4,1,1,,1,2,,,,2,,,,,,,,,,,1,3,2,5,1,1,2,3,1,2,,,,2,,,,,,,,,,,,1,2,9,6,2,3,4,,1,1,,,2,,,,,,,,,,1,1,3,3,5,,1,,,2,,1,,,,,,,,,,,,,,,,1,2,,,,,,,1,,,,,,,,,,,,,,,1,1,1,1,1,,,1,,3,,,,,,,,,
d-YNxMKL6ZhkiRhfUPxKHg,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,1,1,,,,,,1,2,1,,,,,,,,,,,,,,,1,1,1,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
QVDzhx0E3d-J7Lh9FuQtTQ,,,,,,,,,,,,2,1,,,,,,2,1,1,,,,,,,,,,,,,,,2,2,,,1,,,,1,1,,,,,,,1,,,,,,,1,3,3,2,,3,,,,1,,,,,,,,,,,,,,,3,5,1,2,,,,,1,1,,,,,,,,,,,,,,,1,4,1,,1,,,1,1,,1,,,,,,,,,,,,,,,,,1,,1,2,1,1,,,,,,,,,,,,,,,,,,1,,1,1,,,1,1,1,1,,
UACSWwOwCFg58ycvb32-RQ,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,
U5-VseaV5NWnuh5AW4acJg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9cmq0_NV08ejfNsSgr2c-Q,,,,,,,,1,1,,1,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,1,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,
l4ymgiD1WnsSrwxWWk7a3Q,,,,,,,,,1,2,,,,,,1,,,,,,,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,1,,3,8,6,2,,,,,,,,,,,,,,,,,,,,1,,,,2,1,,,,,,,,,,,,,,,,,4,3,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,1,2,1,2,1,1,,,,,,,,,,,,,,,,,1,1,2,,1,,,,1,,,,,,,,,
AYPTLvxlCw2euajnglksTA,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,
YEOnspVAXguZEJp0iKLq8w,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,3,,,,,,,,,,,,1,,,1,2,1,,1,,,,4,4,1,,,,,,,,,,,1,,,1,,,,,,,,1,1,1,
LDJhwZN14AZOJyHjg2lkRw,,,,,,,,,,,1,1,,,2,,,1,,,1,,1,,,,,,,,,,,,,1,,1,,3,2,3,3,1,1,,,1,,,,,,,,,,,,1,,1,,,,2,1,1,,1,,,,,,,,,,,,,,,,1,1,1,3,4,2,1,1,,2,1,,,1,,,,,1,1,,,3,1,1,3,3,1,4,3,4,2,10,3,,,,,,,,,1,4,4,2,6,5,4,2,4,,1,4,3,,5,,,,,,,,,,1,,1,1,1,1,1,4,1,1,6,2,2,2,,1,
9uMnQTDD0hi_ivp_te6s4A,,,,,,,,,,2,1,,,,2,1,1,,1,,,,,,,,,,,,,,,,,,2,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,1,,,,3,,,,,,,,,,2,,,,,,,,1,1,1,,1,2,,,2,1,,,,,,,,,,,,1,1,2,1,2,1,,,2,2,1,,,,,,,,,,,,,,,2,,1,1,2,1,1,2,1,,,,,,
pskMAsS5zxuwQUF--tWIUQ,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTf7fOvesYyhMVGfk3C-pw,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
iqVDfE7XknJ6kDIoepT_xQ,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,,,,,,2,1,,,,,,,,,,,,1,,2,,,,,,1,1,1,,,,,,,,,,,,,,,1,2,1,,,,,,,,,,,,,,,,,,,,,,3,3,,,1,,,,,,,,1,,,,,,,,,,,,2,5,,1,,,,,,,2,1,,,
nXKwzVKJCtIGd4HxXgjdnQ,,,,,,,,,,,,,,,,,,2,2,3,3,2,2,,1,,,,,,,,,,,,,,,,,2,3,1,,4,,4,1,,,,,,,,,,,,,1,,1,1,3,,2,4,2,2,2,,,,,,,,,,,,1,,,,,,3,1,1,3,1,1,1,,,,,,,,,,,,,,,,3,1,2,6,3,5,6,6,1,1,,1,,,,,,,,,,,,,1,1,,3,1,4,1,6,,,,,,,,,,,,,,,,,2,1,1,,,5,3,1,1
AE7TfOrefJCI_qTvUoAezA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
8UhKnPs2Jvz7vjzqYCTcWg,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
gUt-pPUpOVVhaCFC8-E4yQ,1,1,,,,,,,1,,,,1,,,,7,17,15,4,5,4,,1,3,,,,,,,,,,,,,,1,1,17,40,29,11,6,3,1,1,,,,,,,,,,,,,1,,1,7,61,72,38,10,6,7,,,,,,,,,,,,,,,,,,3,24,50,35,19,6,6,12,2,,,,,,,,,,,,,,,,23,56,78,29,29,35,27,15,12,,,,,,,,,,,,,,1,6,6,22,22,22,25,27,20,12,21,4,3,,,,,,,,1,1,,1,,3,12,37,34,27,23,21,28,15,3
HcQSVGAcb5c9kgBB49gvZw,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,
kLAxRU19GwueWSMwXAr0vg,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,2,1,,2,,,,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,3,,1,,,,,,,,1,2,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,1,,1,,,,,,1,1,1,3,,,,1,,,1,,,2,,,,2,1,1,,,,,,,2,,3,,,,,2,,1,,,1,
suivIX2e8mQKGvbMvbcm2Q,1,,,,,2,,,,3,,3,3,2,,,,1,1,2,,,,,,1,,,,,,1,1,3,2,4,3,,2,,,3,2,2,,4,,,,,,,,,,,,,2,2,,1,1,,1,1,,5,3,3,,2,,,,,,1,,,,2,3,1,1,,1,,,1,1,1,,1,,1,,,,,,,,,,2,,3,2,1,,,,1,,1,2,2,,,,2,,,,,,,2,,,,1,1,3,2,,1,2,1,,2,2,,,4,2,,,,,,,,1,,1,,,,,1,1,1,2,,,
4Pf9DQBcR23A6Lg2pDsrBQ,,,,,,,,,,,,,3,2,,2,2,6,1,3,1,3,,,,,,,,,,,,,1,1,1,1,1,1,1,1,2,3,2,2,,,,,,,,,,,,,,1,,1,,,,1,3,1,1,,,1,,,,,,,,,,,,,,,1,,1,1,2,,1,1,3,7,,,,,,,,,,,,2,,,,,1,5,6,8,7,4,2,,1,,,,,,,,,2,4,2,3,8,,2,7,3,9,7,6,6,6,,,,,,,,,,,1,4,2,1,1,5,4,5,4,3,2,3,3,,
zV_LBn9F_3jtx0bFgoGvOA,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,3,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,,,,,,,,,,,,,,,,1
UtUXhKh7vOVvWJF48IzJvQ,,1,,,,,,,,,,3,2,3,2,,2,2,6,3,4,,,,,,,,,,,,,,,2,4,6,,1,,4,1,2,3,1,,,,,,,,,,,,,2,2,2,2,1,,1,2,7,4,2,1,,,,,,,,,,,,,,3,3,2,1,,,2,4,3,2,,,,,,,,,,,,,,1,6,8,5,2,1,11,1,4,6,7,2,,1,,,,,,,,,1,,,1,,1,2,2,4,4,6,3,5,3,1,,,,,,,,,,,,,3,2,1,2,2,4,7,8,4,1,2,,
xWcTt1L4vQC_QkPfPBVlCw,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
saON8-nDZi5W64u1xGtmPA,,,,,,,,,,,1,3,1,,,1,,,,,,,,,,,,,,,,,,,,1,3,1,,,,2,3,,,,,,,,,,,,,,,,,3,2,,,,,,4,1,,,,,,,,,,,,,,,,1,,,,,,1,1,1,2,,,,,,,,,,,,,,1,,1,1,1,1,,2,1,,,,,,,,,,,,,,,,1,2,1,1,2,,,3,1,2,1,1,,,,,,,,,,,,,,,,1,,,,,,1,,,,
DwU7wQtSs3eftKs3Q-EEjw,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,1,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,1,,,,,1,,,,,,,,,1,,,,1,,,,,2,,,,,1,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
APgL23vh7f7H_wAGTl57xQ,,,,,,,,,,,,2,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,1,4,1,1,,,,,3,3,1,,1,,,,,,,,,,,,,2,1,1,2,1,,3,1,2,,,,,,,,,,,,,,,,,,2,,,2,,1,,1,,,
89CVGx4Y6MPVJoi59XgP_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,2,2,2,1,,1,,,,1,1,,,,,,,,,,,,2,1,,1,,,,,,,,,,,,,
9HwUkbKAv7dO3MGlkkJJSg,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,1,,,,,,,,,,,,,,,,2,,1,6,1,1,,,,,,,,,,,,,,,,,,1,,1,1,2,,,,
LRLN1CIUprYLs6rWUC5bAg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,
txCJurIIrE9ZoHu3gZUvnQ,,,,,,,,,,,1,,,2,,,1,,1,2,,,,,,,,,,,,,,,,,,,1,,1,2,4,,,,,,,,,,,,,,,,,,,1,,,1,6,1,2,,,,,,,,,,,,,,,,,1,,1,,,,2,2,,1,,,,,,,,,,,,,,3,2,2,1,,,2,8,3,1,,1,,,,,,,,,,,,1,1,,,,,1,,4,1,2,1,,,,,,,,,,,,1,1,3,2,3,,1,1,4,3,2,1,,,
bZkRR9-BnwE-sb1ql7WPJg,,,,,,,1,,2,4,4,5,1,1,,,,,,,,,,,,,,,,,1,1,4,2,3,2,,2,,,,,,,,,,,,,,,,,,,2,1,3,2,1,,,,,,,,,,,,,,,,,1,,2,7,,4,2,2,3,,,,,,,,,,,,,,,,,1,1,,2,4,,1,1,,,,,,,,1,,,1,,,,,,,,5,7,8,3,,,,,,,,,1,,,,,,,,,,,3,7,8,7,3,2,6,,,,,,,,,,
BZqn7i_Z-MJ1QrxCyjFZSw,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lUsTQ3hOOcSS1mngqeFKAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,2,3,1,,,,,,,,,,,,
WUZxVr_CaRqEQgzvyeK5tw,,,,,,,,,1,7,9,11,19,9,19,13,11,12,15,8,1,1,,,,,,,,,,,1,5,3,8,6,7,7,6,12,7,6,5,3,,,,,,,,,,,,,4,8,6,16,4,9,10,6,10,8,7,2,,,,,,,,,,,,5,4,13,10,9,8,7,9,2,8,8,8,5,1,1,,,,,,,,1,,3,9,17,12,11,17,8,8,4,15,12,11,6,1,,,,,,1,,,,,3,14,39,42,50,55,41,35,43,27,17,11,4,2,,,1,,,,,,,,2,8,38,43,57,36,56,32,29,14,5,2,,1,1,
SF43rzRcmrHxaFNN3Pacjg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GaNphMfP8VeEU00b2Sonng,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,
cTyBfWfmgL3vgRetyfmtyA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
RiJ8Agrw__NG6flFL7BpbA,,,,,,,,,3,,7,13,14,3,1,3,,,4,2,1,,,,,,,,,,,1,2,1,4,12,12,1,1,4,1,2,2,4,1,,,,,,,,,,,,3,3,4,17,11,6,3,2,,3,5,3,1,,,,,,,,,,,1,3,3,6,19,6,3,3,,2,4,2,,3,,,,,,,,,,,1,4,2,2,8,8,4,1,5,2,5,1,,3,,,,,,,,,,2,3,5,3,1,8,7,4,4,2,2,1,3,2,1,,,,,,,,,,2,1,4,,3,2,7,5,1,1,1,,1,,,,,
kk85ivM6MQUtH8u642p1Ew,,,,,,,,,,,,,,,,1,,1,1,1,,,,,,,,,,,,,,2,3,,,,,,4,1,,,,,,,,,,,,,,,1,2,1,2,1,,1,2,13,6,,,,,,,,,,,,,,,1,,,,,,,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,2,5,2,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,
