guid,avgStars,reviewCount
VW7x5Jo1Yi0c34-kOT63pQ,1.0,1
gY-ne6NPsUzCdeWJonLhzQ,3.43,23
r8Jtn1IXRsZEddyYLdczDA,3.75,4
8AmFNpqDOvj5Yjfhxpysvw,3.86,51
NwsZvz90aj-bUg5hjyJmWg,3.26,27
r3tb0RdVAx0wiGWFLv0t8g,4.5,2
PKZvqm3IeWiWBYoDDoEG4w,3.22,10
yvvtblpPi_QH41Jm6ari0w,4.0,5
HrJ2gJ-J-WuoUKTAz_02Aw,3.2,20
c4Frs03yozdJJ3uvuSAp3A,4.44,9
FX7xoins2KhtC7y79BEU9g,3.38,16
F28hTTLhM5sEtIc8k7KQVw,5.0,5
kak_OB_Bb3VFDSguCdHN3w,5.0,1
lS6LniF_pemBHBzigzWBbg,1.5,2
nxW7C0VHPYBkbuyDqBkG-g,3.0,1
KMIRiJOWb6yQk_RQXyOijg,5.0,1
oUGmoziFCwNi2oUHB54SGg,4.26,23
3CiFPZtiIgzxwE3Oz8N9lA,1.0,1
4GzBe-7iyLaCFHfqbChXyw,2.43,7
ebsr5Hg2hE99-iEzSRPdBg,4.0,9
IMNHojI9CeW1NBmYVqyGWg,3.62,16
HAV50pwRVkmu8ZHD0bbZHQ,3.2,10
sMiqBDhg1oasooQ7pWBQ_Q,3.5,2
GnVC8ULHrl8o1stcNgSnnw,2.0,1
zX-1TG5Faj7aDAt15X1vmg,4.0,2
xdqZrsB4ZhxYX5hoW984jQ,3.5,2
UEjyCWJI8ytVSxknmHk6Ig,5.0,1
mSyCw4WTV3oLtTtRE-uylQ,3.22,9
9QKLP4w8DBktVfC28HAgxg,3.25,4
zw-bIcZP4_VEi3UetomDeg,4.0,381
r_5slEuf2V8ab3SZMHVfgA,3.78,117
oZVr2_zB0h-Jb2dE4IVWbw,4.29,7
omeswY0LjLvCb8qouz763w,3.83,6
FGdS11SSEE0VZnb7E4BiiA,3.47,76
7H6TgnJAxZjK4ZWdq8-Tqg,2.97,36
MxvD9pq_jF4FxtO1yNetZQ,3.0,3
zigHnwA0FSGPGUE59lLFzA,4.04,24
f7Hv9J9GTTXd3XsfRgt3Pw,3.1,40
SKkvXrkPKEANoxNiBzfCtg,3.79,19
TpiiNLZRlBiNs35Nlm2-wg,4.12,124
KvvUJzBFR0BffuNrrLUZug,3.59,63
QlCdjt6FoM8-qa51N2jCSQ,5.0,8
MfBVS__OS-2Nm-zzmo7gEA,3.17,6
6W8g1cFTauSG7GsZGNhIjw,3.53,78
0Vhjh1g_9MhXZ8Hb_jNiTQ,5.0,1
9YcqKqs7xFH2tMOuqoUsQA,4.0,8
SNxagk8YIdqqFmoY26PmXg,5.0,2
4wLQR_2P2eYQUC04yxm09A,4.2,6
aj_KGzzcR-l7sewDnApqDA,4.0,1
z99Xto9oUSRfaj03mqQlfA,3.67,9
OfIm-r7GAv7p5JwzPUYDXg,3.29,7
76SlIVfcXJujKQ3xSyYtOQ,3.8,25
kruq_yMP2e__5vpG8sTq3Q,5.0,3
YiTrAuaKH0QGBHYe0h18Gw,3.39,18
bi9COAGNGGFWaScZ2DgMzQ,2.0,2
IqAcO08I-GS93qY2BrmbTg,5.0,6
Wmlxh305msxQuG2Mje_AvA,4.74,19
cMNHD4NWHvsKhmJlx5F3ag,4.6,5
7AYyejHIG5r7P7JFsZ3njw,4.29,14
8e5nqlfZe9iGTGcaqBN0lA,1.0,3
tDxKlkWxL1Dd1Sp_nBF6BA,4.25,48
uQPynTxs2LUNHerWP3Jbhg,3.5,2
JQnT2lCJrg0v277C4OpunQ,3.0,2
JZo5obvpX6Dsc42eheh_bw,3.0,1
b87-U2ZwReh80dLWA-ZieA,3.34,80
s0JvVpNcu1KacfWXboVuvw,4.29,7
izrPGEutYNurRfodgsIxAw,4.3,20
8U7_9ccG10nULjZZANxjCA,3.74,27
Xzy0-Ju1stFNrgqs0IrGiQ,3.87,46
uTwbgmE_wFyqSaqpc9zP_A,5.0,2
-VLz8fGKbli0lMkmzTU6wA,1.0,1
br1qvK-MvggCRpDcW4_ezw,3.0,2
3oc5xoPfPkYwJ04rqU46uQ,5.0,1
5jODkdonMV0HbIIPik1RuA,4.0,26
4aM_mL0xArtvpJBwetqagw,4.8,10
IsvpOkTel_AWtGTAapM6XQ,4.23,56
MQz-bZND3T_-RRwBOcINKQ,4.29,28
yT5zeZCV2jDHdQX5xBSxpA,4.1,10
BVqYroeIcjd5dZq6axUNAg,3.7,93
wHJOaznFDWzoAwQskGgAJg,1.86,7
ChasWJt6OMCsIpPg4Uly8g,3.5,8
JJ-4CMgzXvH-2ezBdojnaw,5.0,2
enD3soG1PXoBx60R9oXb3A,1.0,1
fOpw1fEVhhWMqo0B7NjsVw,5.0,1
ISTfsB5G2Qsqvr6r4vVy9g,3.67,3
6EvgGCHSr5tJiLyJ9dZn3w,3.0,2
ttUEswTJvegyDC88G8VxZg,3.12,8
-QT_e-7VSun5c2z85k_k5A,3.96,46
OP0Rh-KTJKb2r6yQYu6ytQ,2.0,10
F8REvqCL9BjIp6B9rUU_2Q,3.17,6
_Li1-mskJaqD2lhQRlWo0A,3.53,34
vH1t_AB1Pqzoi0D04NvZBg,4.5,2
pCxaM5a3eEkfRZme28H4Xg,4.18,11
2BiT4UmTnrnipyJTcBb6QA,3.18,11
ueFG4iLS8AGlDsT3Y41dmA,3.93,263
Q2mW1efe0ttTY6oX65feKg,4.33,3
0VJkru53hi_-YqQ4LoIbnw,4.33,9
MevHLh2xVAcBVOwvs0jS1w,3.75,28
k0ZiLk6LMoa8kCFmTjJ_Qg,4.0,12
l4j6Qm2Wfdx_PmPbUgyrYA,5.0,3
JQ209VaccTCHSqT22iYXlA,3.64,122
GGyXHGGXyIb6Bc8Hh-rgNw,3.14,8
M5aFV6a_fy5wQNowvWHV5A,2.8,5
mFOZOsPQOacWIMVSyXbEbg,3.81,1556
Nf2fbTcpiWKpuHYKQvWeBA,1.0,3
LJb4foa2owyrzqhCnRCIvQ,4.0,1
Poe51tV71Ngel2WROrfwHw,4.13,52
wABCCy5wxzbqkh44M5EjnA,3.0,2
sbjfYosWSEaQByfqCPgrKg,3.69,13
ME_oGsxnoO-eRrJqNgjrfg,3.81,42
lSmP-JwAHbtTZbxpV4OX3A,3.97,29
4OaFI30Sjum70Hh-S-qhkQ,1.12,11
IzTrBTvhU0QdsFP-2G896Q,4.08,13
wqtrzI-0dl4BAolmmE4Q5A,3.67,3
5CAInAoUKv0FzjiV8kiTeA,4.16,31
LeCbbDMAO2MS40MWWikLqw,1.5,3
k_YQebBIMPysIa3lZdxd4g,4.47,15
JiZQCK4iW4rIpdZMFQDFZA,4.33,3
OvEOHaQrf0LSBx1zTQ4-Qg,3.56,39
O-VK6aGY2S1kLMxKT0C4ZA,3.12,8
8xgBvjq3G-a4PXIrQxYXoQ,3.29,34
Pr_FB-Pe8xZpo8n-LsqULw,3.29,7
paFAm3Ym7rls7vilYXM55g,3.29,7
dKefiVakmDvtFFL5MzVHiQ,5.0,1
32I7moHYL0wYD-wiOnLWAw,3.85,13
G_S8LDaBhWbOwzsLFGaWxQ,1.0,6
ErU6nQCYgttQv259O2EdmA,4.6,10
CsEt9O7rD3pkGISU7YvvDQ,3.0,5
ci2NXHwXGJob3aZEjHqOqw,3.33,3
QpY7RhScn5ak3QIsmQBSEA,3.5,4
W_l3N7oONtPRaa0DNDJyDg,5.0,7
Nl8kUgXO4zbnuWa7hm_aWA,3.74,356
cNU3hw0Gvm2iNGOOvrhWMg,3.52,100
XSB9hyZ3dujTg_qjIuTNqQ,4.33,3
McpIQ1amLzNMyJZKFtlYLQ,3.0,2
RYhI1t8W7M4kA44HkP4e9A,3.8,123
XggBk7qU_-bIF0Ou6GcSJA,3.72,183
7jBDAmmio1YDfgbuAzccHw,3.44,11
KFSzJUcqT4xXVjHRW3bVAg,4.33,13
M_KlkzLCI-k5geEgHQB9Eg,5.0,4
rtlTG8IH46Tbyxsr0AXzqw,4.86,8
tjose_n8RvN3WitP5jEF0A,3.0,2
Sy0tOn6iKlP8PffVW_DdrQ,3.0,4
tl4z8iSvX7SwJwbSJt-v8w,3.57,14
qjumhaqvwFHz68ogEJKRXQ,5.0,10
W7zmm1uzlyUkEqpSG7PlBw,3.15,209
qHcl1_XVuf0SW5T5x8-p9w,4.46,156
WURxeqfudWIuNnKAMRNIUQ,3.9,10
mLLfJtVhVf84jlpOJjfU3Q,3.93,20
01Gc7stzEa_cL_HBtPtOFw,4.67,3
NOgUDhql_0TXIS3SOdvQfg,3.43,1477
jAO9zgmbTXk4LaTxdSP_TA,3.94,33
iokHNUGxXxSxJg5IqnN_cg,4.02,63
2VpW47f9LPrvO6Wj2KAbnw,5.0,2
XYytM-q2UFVyQxqbO0KmRA,3.96,69
Qbi-191fMtAHmoQ2i99Ktg,3.27,33
FqthOa35iYQWwJ29hlHvNg,3.43,37
mmsab7WJdq32RNObdmxLdg,5.0,2
FtIPVtdkwDpk1BuTJn7Ulw,4.75,8
Hrx57cIiOSDInV5u8Deo7w,3.82,88
1-Z0KLGT1qC3-aXcIjgW1Q,4.33,6
1gnFcHg01oJMTmO2VjZXhg,1.0,3
xkrHJJFvgmlOozo61gISWQ,5.0,1
3JXfc4TN-i_LUPDiMCeHuA,4.18,15
f8dTSbjfaVC6nXIdtUKFCg,3.92,13
E9nUqnsDCEIqe54dPz-w4w,2.0,2
Z1oZGIdSVU_7jg9of4KSCA,3.57,8
3pGsaJ-Z3fTzjagchYjHwg,4.0,1
XHAB0E6oJo27KMopmAEc6A,4.5,2
Kf5LfTnRphiaGysEfXwTbw,2.0,2
p6Q8nIGFB2Qz7Gh7UKrVdA,3.0,2
